timestamp,gw_ok,wan_ok,dns_ok,client_ok,client_fail,client_ok_ips,client_fail_ips,arp_5s,dhcp_5s,rx_drop_delta,tx_drop_delta,docker_running_count
2026-03-07T00:28:01+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",5,4,3,0,6
2026-03-07T00:28:44+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",8,4,3,0,6
2026-03-07T00:29:27+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",12,3,3,0,6
2026-03-07T00:30:11+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",12,4,3,0,6
2026-03-07T00:30:54+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",8,3,3,0,6
2026-03-07T00:31:37+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",3,4,3,0,6
2026-03-07T00:32:20+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",5,3,4,0,6
2026-03-07T00:33:03+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",5,4,3,0,6
2026-03-07T00:33:46+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",12,1,3,0,6
2026-03-07T00:34:29+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",11,4,4,0,6
2026-03-07T00:35:12+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",16,1,3,0,6
2026-03-07T00:35:55+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",8,4,3,0,6
2026-03-07T00:36:38+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",3,1,4,0,6
2026-03-07T00:37:21+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",3,4,5,0,6
2026-03-07T00:38:05+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",6,1,3,0,6
2026-03-07T00:38:48+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",7,4,3,0,6
2026-03-07T00:39:31+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",9,2,3,0,6
2026-03-07T00:40:14+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",9,4,3,0,6
2026-03-07T00:40:57+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",9,2,3,0,6
2026-03-07T00:41:40+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",4,4,4,0,6
2026-03-07T00:42:23+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",4,4,3,0,6
2026-03-07T00:43:06+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",11,3,3,0,6
2026-03-07T00:43:49+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",9,5,4,0,6
2026-03-07T00:44:32+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",27,3,4,0,6
2026-03-07T00:45:16+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",20,4,3,0,6
2026-03-07T00:45:59+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",13,3,3,0,6
2026-03-07T00:46:42+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",8,4,3,0,6
2026-03-07T00:47:25+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",6,1,3,0,6
2026-03-07T00:48:08+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",5,4,3,0,6
2026-03-07T00:48:51+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",10,1,3,0,6
2026-03-07T00:49:34+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",5,4,3,0,6
2026-03-07T00:50:17+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",1,2,3,0,6
2026-03-07T00:51:00+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",12,4,4,0,6
2026-03-07T00:51:43+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",5,4,3,0,6
2026-03-07T00:52:26+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",8,1,3,0,6
2026-03-07T00:53:10+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",5,4,4,0,6
2026-03-07T00:53:53+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",3,1,3,0,6
2026-03-07T00:54:36+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",3,4,3,0,6
2026-03-07T00:55:19+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",5,1,3,0,6
2026-03-07T00:56:02+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",3,4,3,0,6
2026-03-07T00:56:45+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",9,1,3,0,6
2026-03-07T00:57:28+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",15,4,3,0,6
2026-03-07T00:58:11+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",10,1,3,0,6
2026-03-07T00:58:54+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",2,4,3,0,6
2026-03-07T00:59:37+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",3,1,3,0,6
2026-03-07T01:00:20+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",3,4,4,0,6
2026-03-07T01:01:03+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",6,2,4,0,6
2026-03-07T01:01:47+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",9,4,3,0,6
2026-03-07T01:02:30+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",23,2,4,0,6
2026-03-07T01:03:13+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",11,4,3,0,6
2026-03-07T01:03:56+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",5,4,3,0,6
2026-03-07T01:04:39+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",7,4,3,0,6
2026-03-07T01:05:22+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",4,4,3,0,6
2026-03-07T01:06:05+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",6,3,3,0,6
2026-03-07T01:06:48+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",13,4,3,0,6
2026-03-07T01:07:31+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",10,3,3,0,6
2026-03-07T01:08:14+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",15,4,3,0,6
2026-03-07T01:08:57+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",9,1,5,0,6
2026-03-07T01:09:41+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",3,4,4,0,6
2026-03-07T01:10:24+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",9,1,3,0,6
2026-03-07T01:11:07+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",5,4,3,0,6
2026-03-07T01:11:50+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",6,1,4,0,6
2026-03-07T01:12:33+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",7,4,3,0,6
2026-03-07T01:13:16+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",7,4,3,0,6
2026-03-07T01:13:59+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",17,3,4,0,6
2026-03-07T01:14:42+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",18,4,3,0,6
2026-03-07T01:15:25+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",17,3,3,0,6
